,sentence,target,target_type,category,polarity,opinin_Term
244,The place is small and cramped but the food is fantastic .,food,explicit,FOOD QUALITY,positive,fantastic
245,I loved this place ! !,place,explicit,RESTAURANT GENERAL,positive,loved
246,The lunch buffet is expensive but is deff worth it .,lunch buffet,explicit,FOOD PRICES,negative,expensive
247,The lunch buffet is expensive but is deff worth it .,lunch buffet,explicit,FOOD QUALITY,positive,worth
248,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,outdoor atmosphere,explicit,LOCATION GENERAL,positive,wonderful
249,The service is good and ambience is good for a date or group outing .,service,explicit,SERVICE GENERAL,positive,good
250,The service is good and ambience is good for a date or group outing .,ambience,explicit,AMBIENCE GENERAL,positive,good
251,The food now is inconsistent .,food,explicit,FOOD QUALITY,negative,inconsistent
252,"All in all the food was good - a little on the expensive side , but fresh .",food,explicit,FOOD QUALITY,positive,fresh
253,"All in all the food was good - a little on the expensive side , but fresh .",food,explicit,FOOD QUALITY,positive,good
254,"All in all the food was good - a little on the expensive side , but fresh .",food,explicit,FOOD PRICES,negative,expensive
255,"At $ 120 for two people , however , this in no way represents value , unless you 're looking to pay by the hour for passive-aggressive torture .",NULL,implicit,RESTAURANT PRICES,negative,no way represents value
256,"At $ 120 for two people , however , this in no way represents value , unless you 're looking to pay by the hour for passive-aggressive torture .",NULL,implicit,SERVICE GENERAL,negative,torture
257,The servers at Flatbush Farm appear to have perfected that ghastly technique of making you feel guilty and ashamed for deigning to attract their attention .,servers,explicit,SERVICE GENERAL,negative,perfected
258,It is one the nicest outdoor restaurants I have ever seen in NY -- I am from Italy and this place rivals the ones in my country .,outdoor restaurants,explicit,AMBIENCE GENERAL,positive,nicest
259,Prices too high for this cramped and unappealing resturant .,resturant,explicit,RESTAURANT PRICES,negative,high
260,Prices too high for this cramped and unappealing resturant .,resturant,explicit,AMBIENCE GENERAL,negative,cramped
261,Prices too high for this cramped and unappealing resturant .,resturant,explicit,AMBIENCE GENERAL,negative,unappealing
262,A quintessential slice of NYC pizza .,slice of NYC pizza,explicit,FOOD QUALITY,neutral,quintessential
263,But the staff was so horrible to us .,staff,explicit,SERVICE GENERAL,negative,horrible
264,"I picked the Grilled Black Cod as my entree , which I absolutely devoured while someone commented that the Grilled Salmon dish was better .",Grilled Black Cod,explicit,FOOD QUALITY,positive,devoured
265,"I picked the Grilled Black Cod as my entree , which I absolutely devoured while someone commented that the Grilled Salmon dish was better .",Grilled Salmon dish,explicit,FOOD QUALITY,positive,better
266,LOVE the atmosphere - felt like I was in Paris .,atmosphere,explicit,AMBIENCE GENERAL,positive,LOVE
267,One of us actually liked the expresso - that 's it .,expresso,explicit,DRINKS QUALITY,positive,liked
268,"But , they were too big for the bun .",NULL,implicit,FOOD STYLE_OPTIONS,negative,too big
269,The pizza is delicious and the proprietor is one of the nicest in NYC .,pizza,explicit,FOOD QUALITY,positive,delicious
270,The pizza is delicious and the proprietor is one of the nicest in NYC .,proprietor,explicit,SERVICE GENERAL,positive,nicest
271,"In the evening , this place attracted a well dressed , with it , NY crowd .",crowd,explicit,RESTAURANT MISCELLANEOUS,positive,attracted
272,Highly recommended .,NULL,implicit,RESTAURANT GENERAL,positive,Highly recommended
273,"In any event , this is a place I 'll be sure to stop by again when I'm in this part of town .",place,explicit,RESTAURANT GENERAL,positive,stop by again
274,"For me dishes a little oily , but overall dining experience good .",dishes,explicit,FOOD QUALITY,negative,oily
275,"For me dishes a little oily , but overall dining experience good .",NULL,implicit,RESTAURANT GENERAL,positive,good
276,Wait staff is blantently unappreciative of your business but its the best pie on the UWS !,Wait staff,explicit,SERVICE GENERAL,negative,unappreciative
277,Wait staff is blantently unappreciative of your business but its the best pie on the UWS !,pie,explicit,FOOD QUALITY,positive,best
278,You ca n't go wrong here .,NULL,implicit,RESTAURANT GENERAL,positive,ca n't go wrong
279,I thought the restaurant was nice and clean .,restaurant,explicit,RESTAURANT GENERAL,positive,nice
280,I thought the restaurant was nice and clean .,restaurant,explicit,AMBIENCE GENERAL,positive,clean
281,I love this place,place,explicit,RESTAURANT GENERAL,positive,love
282,We will go back every time we are in the City .,NULL,implicit,RESTAURANT GENERAL,positive,go back
283,Mizu is home to creative and unique rolls not to found anywhere else .,rolls,explicit,FOOD STYLE_OPTIONS,positive,unique
284,To top it all off . . the main reason we came to your restaurant was for the belly dancers and missed the first show as we were not seated yet and the 2nd belly dancer only danced at two tables in the back of the restaurant and never made it around to the other half of the restaurant .,NULL,implicit,SERVICE GENERAL,negative,never made it around
285,But the service is HORRID !,service,explicit,SERVICE GENERAL,negative,HORRID
286,I am actually offended to have spent so much money on such a bad experience .,NULL,implicit,RESTAURANT GENERAL,negative,bad
287,I am actually offended to have spent so much money on such a bad experience .,NULL,implicit,RESTAURANT PRICES,negative,so much money
288,it's somewhere you can eat and be happy .,NULL,implicit,RESTAURANT GENERAL,positive,happy
289,We 've tried before but it always packed and doesn 't take reservations .,NULL,implicit,RESTAURANT MISCELLANEOUS,neutral,always packed
290,I think that it is absolutely brilliant and well runned business operation .,NULL,implicit,RESTAURANT GENERAL,positive,brilliant
291,Prices are fair across the board for both food and bev .,food,explicit,FOOD PRICES,positive,fair
292,Prices are fair across the board for both food and bev .,bev,explicit,DRINKS PRICES,positive,fair
293,They refuse to seat parties of 3 or more on weekends .,NULL,implicit,SERVICE GENERAL,negative,refuse
294,Awesome,NULL,implicit,RESTAURANT GENERAL,positive,Awesome
295,"If you ’ re planning to come here , make sure that your date is someone whom you really like since you ’ ll be ushered to private booths where there will be no people or food watching ( choose the ones on the ground level that have glass ceilings so you may see the stars in the sky ! ) .",private booths,explicit,AMBIENCE GENERAL,positive,ushered
296,"The food was great and tasty , but the sitting space was too small , I don't like being cramp in a corner .",food,explicit,FOOD QUALITY,positive,great
297,"The food was great and tasty , but the sitting space was too small , I don't like being cramp in a corner .",food,explicit,FOOD QUALITY,positive,tasty
298,"The food was great and tasty , but the sitting space was too small , I don't like being cramp in a corner .",sitting space,explicit,AMBIENCE GENERAL,negative,too small
299,I have never been so disgusted by both food an service .,food,explicit,FOOD QUALITY,negative,disgusted
300,I have never been so disgusted by both food an service .,service,explicit,SERVICE GENERAL,negative,disgusted
301,Very affordable and excellent ambient !,ambient,explicit,AMBIENCE GENERAL,positive,excellent
302,Very affordable and excellent ambient !,NULL,implicit,RESTAURANT PRICES,positive,affordable
303,"To me it exemplifies Soho , cute , artsy , interesting .",NULL,implicit,AMBIENCE GENERAL,positive,cute
304,"To me it exemplifies Soho , cute , artsy , interesting .",NULL,implicit,AMBIENCE GENERAL,positive,artsy
305,"To me it exemplifies Soho , cute , artsy , interesting .",NULL,implicit,AMBIENCE GENERAL,positive,interesting
306,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side .,service,explicit,SERVICE GENERAL,negative,disappointed
307,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side .,food,explicit,FOOD PRICES,negative,pricey
308,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side .,food,explicit,FOOD QUALITY,negative,overated
309,"Once you step into Cosette , you 're miraculously in a small , off-the-beaten path Parisian bistro .",Cosette,explicit,AMBIENCE GENERAL,positive,off-the-beaten
310,I was pleasantly suprised .,NULL,implicit,RESTAURANT GENERAL,positive,pleasantly suprised
311,Great Atmosphere,Atmosphere,explicit,AMBIENCE GENERAL,positive,Great
312,The rice was poor quality and was cooked so badly it was hard .,rice,explicit,FOOD QUALITY,negative,poor quality
313,The rice was poor quality and was cooked so badly it was hard .,rice,explicit,FOOD QUALITY,negative,cooked so badly
314,The rice was poor quality and was cooked so badly it was hard .,rice,explicit,FOOD QUALITY,negative,hard
315,We will return many times for this oasis in mid-town .,NULL,implicit,RESTAURANT GENERAL,positive,return
316,"For a restaurant with such a good reputation and that is usually so packed , there was no reason for such a lack of intelligent customer service .",restaurant,explicit,RESTAURANT MISCELLANEOUS,positive,good reputation
317,"For a restaurant with such a good reputation and that is usually so packed , there was no reason for such a lack of intelligent customer service .",customer service,explicit,SERVICE GENERAL,negative,intelligent
318,I 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .,setting,explicit,AMBIENCE GENERAL,positive,intimate
319,I 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .,service,explicit,SERVICE GENERAL,positive,nice
320,I 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,recommend
321,this is can became on e of the NY Italian Food fare institutions .,NULL,implicit,RESTAURANT GENERAL,positive,fare institutions
